"","name","partito","s_office","e_office"
"269","DI GIORGI ROSA MARIA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"270","DI LAURO CARMELA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"271","DI MAIO LUIGI","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"272","DI MAIO MARCO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"273","DI MAIO MARCO","ITALIA VIVA (19.09.2019)","20190919",NA
"274","DI MURO FLAVIO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"275","DI SAN MARTINO LORENZATO DI IVREA LUIS ROBERTO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"276","DI SARNO GIANFRANCO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"277","DI STASIO IOLANDA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"278","DI STEFANO MANLIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"279","DIENI FEDERICA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"280","DONINA GIUSEPPE CESARE","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"281","DONNO LEONARDO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"282","DONZELLI GIOVANNI","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"283","DORI DEVIS","MOVIMENTO 5 STELLE (27.03.2018-09.07.2021)","20180327","20210709"
